QuestionNumber,FinalQuestion,GeneratedAnswerOptions,CorrectAnswer,Explanation
Q1,You need to create a partitioned table in an Azure Synapse Analytics dedicated SQL pool. How should you complete the Transact-SQL statement?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q2,"You have a data model that you plan to implement in a data warehouse in Azure Synapse Analytics as shown in the following exhibit. All the dimension tables will be less than 2 GB after compression, and the fact table will be approximately 6 TB. The dimension tables will be relatively static with very few data inserts and updates. Which type of table should you use for each table?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q3,"A Data Engineer is given a set of 10,000 CSV documents stored in Azure Data Lake that hold rows of historic sales data that needs to be accessed in a one-off analysis process into an Azure Synapse Analytics. What is the preferred method to access the sales rows?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q4,You use Azure Data Factory to prepare data to be queried by Azure Synapse Analytics serverless SQL pools. Files are initially ingested into an Azure Data Lake Storage Gen2 account as 10 small JSON files. Each file contains the same data attributes and data from a subsidiary of your company. You need to move the files to a different folder and transform the data to meet the following requirements: c® Provide the fastest possible query times. c® Automatically infer the schema from the underlying files. How should you configure the Data Factory copy activity?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q5,You need to output files from Azure Data Factory. Which file format should you use for each type of output?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q6,A company is migrating three on-premises Microsoft SQL Server databases to Azure. The company would like to minimize the cost of running the service in Azure. They have analyzed the usage of the databases before migration as shown below: Database 1: Used predominantly during the first week of the month with heavy analytics and querying during working hours (8:00 am-6:00 pm). Database 2: Used throughout the month for querying although data is uploaded nightly «Database 3: Used by the data science team to train their machine learning models within R and Python. This will be updated to be used within Azure Databricks once the migration has taken place. The training of the models will be performed daily. The data volumes can be handled easily by Azure SQL Database. How should the Azure SQL Databases be implemented?,"A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q7,You are designing the folder structure for an Azure Data Lake Storage Gen2 container. Users will query data by using a variety of services including Azure Databricks and Azure Synapse Analytics serverless SQL pools. The data will be secured by subject area. Most queries will include data from the current year or current month. Which folder structure should you recommend to support fast queries and simplified folder security?,"A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q8,You have an enterprise-wide Azure Data Lake Storage Gen2 account. The data lake is accessible only through an Azure virtual network named VNET1. You are building a SQL pool in Azure Synapse that will use data from the data lake. Your company has a sales team. All the members of the sales team are in an Azure Active Directory group named Sales. POSIX controls are used to assign the Sales group access to the files in the data lake. You plan to load data to the SQL pool every hour. You need to ensure that the SQL pool can load the sales data from the data lake. Which three actions should you perform? Each correct answer presents part of the solution. NOTE: Each area selection is worth one point.,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q9,You are planning the deployment of Azure Data Lake Storage Gen2. You have the following two reports that will access the data lake: © Report1: Reads three columns from a file that contains 50 columns. ©® Report2: Queries a single record based on a timestamp. You need to recommend in which format to store the data in the data lake to support the reports. The solution must minimize read times. What should you recommend for each report?,"A. Store in Parquet format, B. Store in JSON format, C. Store in CSV format, D. Store in TXT format",A. Store in Parquet format,Parquet format is best for optimized query performance and reduced storage costs in Azure Data Lake.
Q10,"When using Custom .Net activity with Azure Batch in an Azure Data Factory, what is the best general approach to store secrets and credentials to be accessible by your code?","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
Q11,"You have a table named SalesFact in an enterprise data warehouse in Azure Synapse Analytics. SalesFact contains sales data from the past 36 months and has the following characteristics: c® Is partitioned by month ©® Contains one billion rows > Has clustered columnstore index At the beginning of each month, you need to remove data from SalesFact that is older than 36 months as quickly as possible. Which three actions should you perform in sequence in a stored procedure?","A. Use a dedicated SQL pool, B. Use a serverless SQL pool, C. Use Azure Data Lake, D. Use Azure Blob Storage",A. Use a dedicated SQL pool,Dedicated SQL pools in Azure Synapse Analytics provide optimized performance for large-scale analytical queries.
Q12,"You have an enterprise data warehouse in Azure “ . ALTER EXTERNAL TABLE [Ext] . [Items] Synapse Analytics. ADD [ItemID] int; Using PolyBase, you create an external table named","A. Option 1, B. Option 2, C. Option 3, D. Option 4",A. Option 1,Placeholder answer based on limited context.
